Sample,Sample_Mass,Bag_Mass,Ash,ADL,ADF,NDF,Lignin,Cellulose,Hemicellulose,Labile,Treatment
b1,0.4776,0.5397,0.177866666666667,0.181753382758619,0.227672170062002,0.289465473870682,0.00388671609195246,0.0459187873033828,0.0617933038086801,0.188134526129318,b-Old
b2,0.4905,0.5158,0.172566666666665,0.178733082873625,0.223719946855624,0.257799539415412,0.00616641620696068,0.0449868639819989,0.0340795925597874,0.232700460584588,b-Old
b3,0.4983,0.4956,0.166766666666668,0.175621783389238,0.229967440212578,0.291804481842338,0.00885511672257011,0.0543456568233398,0.0618370416297608,0.206495518157662,b-Old
b4,0.4605,0.4857,0.153966666666665,0.162800403938968,0.217635766164748,0.270749973427812,0.00883373727230286,0.0548353622257793,0.0531142072630645,0.189750026572188,b-New
b5,0.4899,0.5315,0.174766666666667,0.180998300789709,0.250594419840567,0.315851638618246,0.00623163412304228,0.0695961190508579,0.0652572187776792,0.174048361381754,b-New
b6,0.4638,0.4972,0.182066666666664,0.191095945724635,0.270024074402126,0.334448644818423,0.00902927905797091,0.078928128677491,0.0644245704162975,0.129351355181577,b-New
b7,0.4939,0.5182,0.178566666666665,0.187844326376721,0.266354898139947,0.340815783879539,0.00927765971005612,0.0785105717632257,0.0744608857395925,0.153084216120461,b-New
c1,0.491,0.5406,0.192566666666666,0.19648259907228,0.259147776793623,0.32273406554473,0.00391593240561372,0.062665177721343,0.0635862887511071,0.16826593445527,c-Old
c2,0.483,0.5467,0.177966666666666,0.184602842975981,0.257982444641276,0.284921186891054,0.00663617630931468,0.0733796016652945,0.0269387422497785,0.198078813108946,c-Old
c3,0.4614,0.5501,0.166566666666666,0.1949354379387,0.326190292294066,0.414402533215235,0.0283687712720335,0.131254854355366,0.0882122409211691,0.0469974667847653,c-Old
c4,0.4776,0.5638,0.208366666666663,0.212157952935537,0.321518972542073,0.373924428697963,0.00379128626887415,0.109361019606535,0.0524054561558902,0.103675571302037,c-New
c5,0.4676,0.5324,0.178266666666666,0.18372751710337,0.246070026572188,0.352120230292294,0.0054608504367043,0.0623425094688179,0.106050203720106,0.115479769707706,c-New
c6,0.49,0.5579,0.182166666666667,0.186121979323761,0.259478883968113,0.314730327723649,0.00395531265709337,0.0733569046443528,0.0552514437555358,0.175269672276351,c-New
c7,0.487266045632557,0.543,0.186266666666667,0.192493842575375,0.250882728077945,0.349850310008857,0.0062271759087088,0.0583888855025697,0.0989675819309123,0.1374157356237,c-New
